gold_row,source,question,expected_template_ids,served_template_id,served_question,bound_filters,verdict,wp6_verdicts,note
1019,WP4a-gold/planning,Which blocks have the most pending GPDP approvals in 2024-2025?,PLN-020,PLN-020,Which Blocks have the highest number of pending GPDP approvals in 2024-2025 (1) (block)?,"{""date_range"": ""2024-2025"", ""top_n"": ""1"", ""group_by"": ""block""}",hit,hit/hit/hit,
1020,WP4a-gold/planning,2024-2025 ରେ କେଉଁ ବ୍ଲକରେ ସବୁଠାରୁ ଅଧିକ GPDP ଅନୁମୋଦନ ବାକି ଅଛି?,PLN-020,,,,clarify,clarify/wrong_template/wrong_template,asked (ambiguous_templates): I couldn't match that exactly. Did you mean one of these? | chips: How many Gram Panchayats in a block/a district are still awaiting GPDP approval in 2024-2025? / Which Gram Panchayats have uploaded the GPDP but are still awaiting approval in 2024-2025? / Which Blocks have completed GPDP approval for all Gram Panchayats in 2024-2025?
1021,WP4a-gold/planning,How many activities are planned under each GPDP theme in Andhrua in 2024-25?,PLN-024,PLN-024,How many activities are planned under each GPDP theme in Andhrua in 2024-2025?,"{""date_range"": ""2024-2025"", ""gp_name"": ""Andhrua"", ""group_by"": ""theme""}",hit,hit/hit/hit,
1022,WP4a-gold/planning,Which GPDP theme has the highest number of planned activities in Khordha in 2024-2025?,PLN-029; PLN-035,PLN-029,Which GPDP theme has the highest number of planned activities in Khordha in 2024-2025 (1)?,"{""date_range"": ""2024-2025"", ""district_name"": ""Khordha"", ""top_n"": ""1""}",hit,hit/hit/wrong_template,
1023,WP4a-gold/planning,Which GPs planned the most activities under Clean and Green Village in 2024-25?,PLN-031,PLN-031,Which Gram Panchayats have planned the highest number of activities under Theme 5 - Clean and Green Village  in 2024-2025 (1) (gp)?,"{""date_range"": ""2024-2025"", ""theme"": ""Theme 5 - Clean and Green Village "", ""top_n"": ""1"", ""group_by"": ""gp""}",hit,hit/hit/hit,
1024,WP4a-gold/planning,How has the number of planned activities per theme changed year on year?,PLN-038,PLN-038,How has the number of planned activities under each theme changed over the last five years?,,hit,hit/hit/hit,
1025,WP4a-gold/planning,Which themes showed the greatest increase in planned activities between 2023-24 and 2024-25?,PLN-039,PLN-039,Which themes have shown the greatest increase in planned activities between 2023-2024 and 2024-2025 (1)?,"{""date_range"": ""2024-2025"", ""date_range_2"": ""2023-2024"", ""top_n"": ""1"", ""group_by"": ""theme""}",hit,hit/hit/hit,
1026,WP4a-gold/planning,Sanitation ke under 2024-25 me Andhrua me kitni activities plan hui?,PLN-049,PLN-049,How many activities are planned under Sanitation in Andhrua in 2024-2025?,"{""date_range"": ""2024-2025"", ""focus_area"": ""Sanitation"", ""gp_name"": ""Andhrua""}",hit,hit/hit/hit,
1027,WP4a-gold/planning,Which focus area has the highest number of planned activities in 2024-2025?,PLN-052,PLN-052,Which focus area has the highest number of planned activities in 2024-2025 (1)?,"{""date_range"": ""2024-2025"", ""top_n"": ""1""}",hit,hit/hit/hit,
1028,WP4a-gold/planning,2024-2025 ରେ କେଉଁ ଫୋକସ ଏରିଆରେ କୌଣସି ଯୋଜନାବଦ୍ଧ କାର୍ଯ୍ୟ ନାହିଁ?,PLN-068,,,,clarify,clarify/clarify/clarify,asked (ambiguous_templates): I can read that a few ways — which of these did you mean? | chips: How many activities in a block are still awaiting administrative approval in 2024-2025? / How many activities in a block are in a work status for 2024-2025? / Which theme has the highest utilisation of 15th CFC funds at District level in 2024-2025?
1029,WP4a-gold/planning,How many activities below Rs 1000 are planned theme-wise in 2024-2025?,PLU-006,PLU-006,How many low-cost activities (below 1000 rupees) are planned theme-wise in 2024-2025?,"{""date_range"": ""2024-2025"", ""threshold"": ""1000"", ""group_by"": ""theme""}",hit,hit/hit/hit,
1030,WP4a-gold/planning,Andhrua ke kitne percent activities 1 lakh se kam ki hain 2024-25 me?,PLU-009,PLU-009,What share of planned activities in Andhrua are low-cost (below 1 lakh (₹100000)) in 2024-2025?,"{""date_range"": ""2024-2025"", ""threshold"": ""100000"", ""gp_name"": ""Andhrua""}",hit,hit/hit/hit,
1031,WP4a-gold/planning,What is the cost-band split of activities in Khordha for 2024-2025?,PLU-007,PLU-007,"What is the cost-band split (below 500, 500-1000, above 1000) of activities in Khordha for 2024-2025?","{""date_range"": ""2024-2025"", ""district_name"": ""Khordha""}",hit,hit/hit/hit,
1032,WP4a-gold/planning,Andhrua ka supplementary plan hai kya 2024-25 ke liye?,PLU-003,PLU-003,Does Andhrua have a supplementary plan in addition to the main plan for 2024-2025?,"{""date_range"": ""2024-2025"", ""gp_name"": ""Andhrua""}",hit,hit/hit/hit,
1033,WP4a-gold/planning,How many fresh and how many maintenance activities does Andhrua have in 2024-25?,WRK-001,WRK-001,How many fresh and how many maintenance activities does Andhrua have in 2024-2025?,"{""date_range"": ""2024-2025"", ""gp_name"": ""Andhrua""}",hit,hit/hit/hit,
1034,WP4a-gold/planning,What share of Khordha's expenditure went to maintenance in 2024-2025?,WRK-003,WRK-003,What share of total expenditure in Khordha went to maintenance activities in 2024-2025?,"{""date_range"": ""2024-2025"", ""district_name"": ""Khordha""}",hit,hit/hit/hit,
1035,WP4a-gold/planning,Bhubaneswar ke kaun se GP maintenance par fresh asset se zyada kharch karte hain 2024-25 me?,WRK-005,WRK-005,Which GPs in Bhubaneswar spend more on maintenance than on fresh assets in 2024-2025?,"{""date_range"": ""2024-2025"", ""block_name"": ""Bhubaneswar""}",hit,hit/hit/hit,
1036,WP4a-gold/planning,GPDP status?,PLN-001; PLN-005; PLN-012,,,,clarify,clarify/clarify/clarify,asked (missing_parameter): For which date range? | chips: 
1037,WP4a-gold/planning,How many GPs in Laxmipur uploaded the GPDP in 2024-25?,PLN-001,PLN-001,How many Gram Panchayats in Koraput/Laxmipur have uploaded the GPDP in 2024-2025?,"{""date_range"": ""2024-2025"", ""district_name"": ""Koraput"", ""block_name"": ""Laxmipur""}",hit,hit/hit/hit,
1038,WP4a-gold/planning,Bheden ka plan status 2024-25?,PLU-001; PLN-012,PLU-001,What is the status of the 2024-2025 plan of all GPs (Bheden block)?,"{""date_range"": ""2024-2025"", ""block_name"": ""Bheden""}",hit,hit/hit/hit,
1039,WP4a-gold/planning,2025-26 re kaun kaun blockre GPDP anumodan re barambar bilamba huachi?,PLN-022,PLN-020,Which Blocks have the highest number of pending GPDP approvals in 2025-2026 (10)?,"{""date_range"": ""2025-2026"", ""top_n"": ""10""}",wrong_template,wrong_template/wrong_template/wrong_template,
1040,WP4a-gold/planning,Which themes have remained consistently among the top priorities over the last five years?,PLN-041,PLN-041,Which themes have remained consistently among the top priorities over the last five years?,,hit,hit/hit/hit,asked (known_unanswerable): The closest question I can answer is: | chips: How has the number of planned activities under each theme changed over the last five years?
1041,WP4a-gold/planning,Attabira me kitni activities dusre panchayat tier ko delegate hui 2025-26 me?,PLU-005,PLU-005,How many activities in a given Block are delegated to another panchayat tier for execution in a given Plan Year?,,hit,hit/hit/hit,
1042,WP4a-gold/planning,aur sabse kam?,PLN-053; PLN-052,PLN-052,"Lowest planned activities among all focus area name, 2024-2025:",,hit,hit/hit/hit,
1043,WP4-gold/planning,What percentage of Gram Panchayats in each block uploaded their GPDP in 2024-2025?,PLN-003,PLN-003,What percentage of Gram Panchayats in each block have uploaded their GPDP in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1044,WP4-gold/planning,and Laxmipur?,PLN-003,PLN-003,What percentage of Gram Panchayats in Laxmipur have uploaded their GPDP in 2024-2025?,"{""date_range"": ""2024-2025"", ""block_name"": ""Laxmipur""}",hit,hit/hit/hit,
1045,WP4c-gold/planning,Which themes showed the greatest decline in planned activities between 2023-24 and 2024-25?,PLN-040,PLN-040,Which themes have shown the greatest decline in planned activities between 2023-2024 and 2024-2025 (1)?,"{""date_range"": ""2024-2025"", ""date_range_2"": ""2023-2024"", ""top_n"": ""1"", ""group_by"": ""theme""}",hit,hit/hit/hit,
1046,WP5-gold/categorical,Which GPs planned the most activities under the Water Sufficient Village theme in 2024-25?,PLN-031,PLN-031,Which Gram Panchayats have planned the highest number of activities under Theme 4 - Water Sufficient Village in 2024-2025 (1) (gp)?,"{""date_range"": ""2024-2025"", ""theme"": ""Theme 4 - Water Sufficient Village"", ""top_n"": ""1"", ""group_by"": ""gp""}",hit,hit/hit/hit,
1047,WP5-gold/categorical,Which Gram Panchayats have not planned any activities under Theme 8 in 2024-25?,PLN-032,PLN-032,Which Gram Panchayats have not planned any activities under Theme 8 - Village with Good Governance in 2024-2025?,"{""date_range"": ""2024-2025"", ""theme"": ""Theme 8 - Village with Good Governance""}",hit,hit/hit/hit,
1048,WP5-gold/categorical,Child Friendly Village theme ke under 2024-25 me kaunse GP ne koi activity plan nahi ki?,PLN-032,PLN-032,Which Gram Panchayats have not planned any activities under Theme 3 - Child Friendly Village in 2024-2025?,"{""date_range"": ""2024-2025"", ""theme"": ""Theme 3 - Child Friendly Village""}",hit,hit/hit/hit,
1049,WP5-gold/categorical,2024-25 me Poverty Free and Enhanced Livelihoods Village theme ke under sabse zyada activities kis GP ne plan ki?,PLN-031,PLN-031,Which Gram Panchayats have planned the highest number of activities under Theme 1 - Poverty Free and Enhanced Livelihoods Village in 2024-2025?,"{""date_range"": ""2024-2025"", ""theme"": ""Theme 1 - Poverty Free and Enhanced Livelihoods Village"", ""top_n"": ""1""}",hit,hit/hit/hit,
1201,WP4a-gold/sanitation_sbm,How many community soak pits have been planned in 2024-25?,SBM-GWM-003,SBM-GWM-003,How many community soak pits have been planned in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1202,WP4a-gold/sanitation_sbm,and household ones?,SBM-GWM-008,,,,clarify,clarify_gold_offered/clarify_gold_offered/clarify_gold_offered,asked (missing_parameter): For which date range? | chips: 
1203,WP4a-gold/sanitation_sbm,How many soak pits were completed in 2024-2025?,SBM-GWM-006; SBM-GWM-011,SBM-GWM-006,How many community soak pits have been completed in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,partial/hit/partial,
1204,WP4a-gold/sanitation_sbm,What is the expenditure on Grey Water Management activities in 2024-25?,SBM-GWM-002,SBM-GWM-002,What is the expenditure on Grey Water Management activities in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1205,WP4a-gold/sanitation_sbm,2024-25 me kitne household soak pit complete hue?,SBM-GWM-011,SBM-GWM-011,How many household soak pits have been completed in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1206,WP4a-gold/sanitation_sbm,2024-2025 ରେ କେତେ ସାମୁଦାୟିକ ସୋକ୍‌ପିଟ୍ ଯୋଜନା କରାଯାଇଛି?,SBM-GWM-003,,,,clarify_gold_offered,clarify_gold_offered/clarify_gold_offered/clarify_gold_offered,asked (ambiguous_templates): I can read that a few ways — which of these did you mean? | chips: How many household soak pits have been planned in 2024-2025? / How many community soak pits have been planned in 2024-2025? / How many activities in a block are still awaiting administrative approval in 2024-2025?
1207,WP4a-gold/sanitation_sbm,How many community soak pits have been approved in 2024-2025?,SBM-GWM-004,SBM-GWM-004,How many community soak pits have been approved in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1208,WP4a-gold/sanitation_sbm,What is the expenditure on household soak pits in 2024-25?,SBM-GWM-012,SBM-GWM-012,What is the expenditure on household soak pits in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1209,WP4a-gold/sanitation_sbm,How many single-pit to twin-pit toilet retrofits have been planned in 2024-2025?,SBM-SI-016,SBM-SI-016,How many single-pit to twin-pit toilet retrofits have been planned in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1210,WP4a-gold/sanitation_sbm,2024-25 me kitne IHHL complete hue?,SBM-SI-009,SBM-SI-009,How many Individual Household Latrines (IHHLs) have been completed in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1211,WP4a-gold/sanitation_sbm,Public institutions me kitne toilet ban gaye 2024-25 me?,SBM-SI-004,SBM-SI-004,How many toilets in public institutions have been completed in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1212,WP4a-gold/sanitation_sbm,What is the expenditure on toilets in public institutions in 2024-2025?,SBM-SI-005,SBM-SI-005,What is the expenditure on toilets in public institutions in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1213,WP4a-gold/sanitation_sbm,How many toilets and handwash units in AWCs and schools are ongoing in 2024-25?,SBM-SI-013,SBM-SI-013,How many toilets and handwash units in AWCs and schools are ongoing in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1214,WP4a-gold/sanitation_sbm,2024-2025 re kete anganwadi o school re toilet sarichi?,SBM-SI-014,SBM-SI-014,How many toilets and handwash units in AWCs and schools have been completed in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1215,WP4a-gold/sanitation_sbm,How many septic-tank-with-soak-pit retrofits have been approved in 2024-2025?,SBM-SI-022,SBM-SI-022,How many septic-tank-with-soak-pit retrofits have been approved in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1216,WP4a-gold/sanitation_sbm,2024-2025 ରେ କେତେ ବ୍ୟକ୍ତିଗତ ଘରୋଇ ଶୌଚାଳୟ ଯୋଜନା କରାଯାଇଛି?,SBM-SI-006,SBM-SI-006,How many Individual Household Latrines (IHHLs) have been planned in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1217,WP4a-gold/sanitation_sbm,How many community compost pits are ongoing in 2024-25?,SBM-SWM-004,SBM-SWM-004,How many community compost pits are ongoing in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1218,WP4a-gold/sanitation_sbm,Household compost pit par kitna kharcha hua 2024-25 me?,SBM-SWM-011,SBM-SWM-011,What is the expenditure on household compost pits in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1219,WP4a-gold/sanitation_sbm,2024-25 me kitne segregation shed ban kar taiyar ho gaye?,SBM-SWM-015,SBM-SWM-015,How many segregation sheds have been completed in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1220,WP4a-gold/sanitation_sbm,Segregation bins planned 24-25?,SBM-SWM-017; SBM-SWM-021; SBM-SWM-022,SBM-SWM-017,How many segregation bins have been planned in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1221,WP4a-gold/sanitation_sbm,2024-2025 re kete Gobardhan unit sampurna heichi?,SBM-SWM-027,SBM-SWM-027,How many Gobardhan units have been completed in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1222,WP4a-gold/sanitation_sbm,What is the expenditure on Gobardhan units in 2024-2025?,SBM-SWM-028,SBM-SWM-028,What is the expenditure on Gobardhan units in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1223,WP4a-gold/sanitation_sbm,Door-to-door kachra gaadi kitni chal rahi hain 2024-25 me?,SBM-SWM-031,SBM-SWM-031,How many door-to-door waste-collection vehicles are ongoing in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1224,WP4a-gold/sanitation_sbm,How many weighing machines have been planned in 2024-2025?,SBM-SWM-035,SBM-SWM-035,How many weighing machines have been planned in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1225,WP4a-gold/sanitation_sbm,How many Solid Waste Management activities have been planned in 2024-25?,SBM-SWM-001,SBM-SWM-001,How many Solid Waste Management activities have been planned in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1226,WP4a-gold/sanitation_sbm,What is the O&M expenditure on community sanitary complexes in 2024-2025?,SBM-OM-001,SBM-OM-001,What is the Operation & Maintenance expenditure on community sanitary complexes in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1227,WP4a-gold/sanitation_sbm,What is the Operation & Maintenance expenditure on segregation sheds in 2024-25?,SBM-OM-003,SBM-OM-003,What is the Operation & Maintenance expenditure on segregation sheds in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1228,WP4a-gold/sanitation_sbm,PPE kit aur safety equipment kitne plan hue 2024-25 me?,SBM-OM-008,SBM-OM-008,How many PPE kits and safety equipment purchases have been planned in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1229,WP4a-gold/sanitation_sbm,What is the total Operation & Maintenance expenditure in Andhrua in 2024-2025?,SBM-OM-010,SBM-OM-010,What is the total Operation & Maintenance expenditure in Andhrua in 2024-2025? (as one total),"{""date_range"": ""2024-2025"", ""gp_name"": ""Andhrua"", ""group_by"": ""total""}",hit,hit/hit/hit,
1230,WP4a-gold/sanitation_sbm,2024-2025 ରେ ପ୍ଲାଷ୍ଟିକ ବର୍ଜ୍ୟବସ୍ତୁ ପରିଚାଳନା ୟୁନିଟ ପାଇଁ କେତେ ଖର୍ଚ୍ଚ ହୋଇଛି?,SBM-OM-004,,,,clarify,clarify/clarify/clarify,"asked (ambiguous_templates): I can read that a few ways — which of these did you mean? | chips: Which activities in a block report expenditure but have no payment vouchers in 2024-2025? / Which activities in a block are abandoned, and what are their costs in 2024-2025? / Which abandoned activities in a district had expenditure incurred, and how much in 2024-2025?"
1231,WP4a-gold/sanitation_sbm,Faecal sludge management plant par kitna kharcha hua 2024-25 me?,SBM-OM-007,SBM-OM-007,What is the Operation & Maintenance expenditure on Faecal Sludge Management plants in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1232,WP4a-gold/sanitation_sbm,2024-25 me kitne compost pit complete hue?,SBM-SWM-005; SBM-SWM-010,SBM-SWM-005,How many community compost pits have been completed in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1233,WP4a-gold/sanitation_sbm,How many waste collection vehicles were repaired in 2024-25?,SBM-SWM-033,SBM-SWM-033,How many such vehicles have been repaired in a given year?,,hit,hit/hit/hit,
1234,WP4a-gold/sanitation_sbm,How many toilets in public institutions are ongoing in 2024-2025?,SBM-SI-003,SBM-SI-003,How many toilets in public institutions are ongoing in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1401,WP4a-gold/budgeting_funding,How much funding is recorded from each funding source in 2024-25?,BUD-002,BUD-002,How much funding is recorded from each funding source in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1402,WP4a-gold/budgeting_funding,What percentage of the sanctioned budget is tied and untied in 2024-2025?,BUD-005; BUD-003,BUD-005,What percentage of the sanctioned budget is tied and untied in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1403,WP4a-gold/budgeting_funding,Which focus area has the highest planned expenditure in 2024-25?,BUD-022,BUD-022,Which focus area has the highest planned expenditure in 2024-2025 (1)?,"{""date_range"": ""2024-2025"", ""top_n"": ""1""}",hit,hit/hit/hit,
1404,WP4a-gold/budgeting_funding,and the lowest?,BUD-023; BUD-022,BUD-022,"Lowest planned cost among all focus area name, 2024-2025:",,hit,hit/clarify_gold_offered/hit,
1405,WP4a-gold/budgeting_funding,Which GPDP theme has the highest planned expenditure in 2024-2025?,BUD-007,BUD-007,Which GPDP theme has the highest planned expenditure in 2024-2025 (1)?,"{""date_range"": ""2024-2025"", ""top_n"": ""1""}",hit,hit/hit/hit,
1406,WP4a-gold/budgeting_funding,2024-25 me har theme ko kitna planned expenditure mila?,BUD-006,BUD-006,How much planned expenditure is allocated to each GPDP theme in 2024-2025?,"{""date_range"": ""2024-2025""}",hit,hit/hit/hit,
1407,WP4a-gold/budgeting_funding,2024-2025 ରେ କେଉଁ ଫୋକସ ଏରିଆକୁ କୌଣସି ଯୋଜନାବଦ୍ଧ ଖର୍ଚ୍ଚ ମିଳିନାହିଁ?,BUD-027,,,,clarify,clarify/clarify/clarify,"asked (ambiguous_templates): I can read that a few ways — which of these did you mean? | chips: Which activities in a block are abandoned, and what are their costs in 2024-2025? / What are the approved cost and expenditure sector-wise in a district for 2024-2025? / How many activities in a block are still awaiting administrative approval in 2024-2025?"
1408,WP4a-gold/budgeting_funding,Andhrua ko 2024-25 me total kitna fund mila?,BUD-001,BUD-001,How much total funding is recorded for Andhrua in 2024-2025?,"{""date_range"": ""2024-2025"", ""gp_name"": ""Andhrua""}",hit,hit/hit/hit,
1409,WP4a-gold/budgeting_funding,How many activities are recorded under CFC in Khordha for 2024-25?,SCH-001,SCH-001,How many activities are recorded under XV Finance Commission in Khordha for 2024-2025?,"{""date_range"": ""2024-2025"", ""scheme"": ""XV Finance Commission"", ""district_name"": ""Khordha""}",hit,hit/hit/hit,
1410,WP4a-gold/budgeting_funding,Which scheme has the highest expenditure in Bhubaneswar for 2024-2025?,SCH-005,SCH-005,Which scheme has the highest expenditure in Bhubaneswar for 2024-2025 (1)?,"{""date_range"": ""2024-2025"", ""block_name"": ""Bhubaneswar"", ""top_n"": ""1""}",hit,hit/hit/hit,
1411,WP4a-gold/budgeting_funding,SFC vs CFC comparison,SCH-008,,,,clarify,clarify/clarify/partial,asked (ambiguous_templates): I couldn't match that exactly. Did you mean one of these? | chips: Which theme has the highest utilisation of 15th CFC funds at Block level in a year? / Which funding source has the highest utilisation in a year? / How much funding is recorded from each funding source in a year?
1412,WP4a-gold/budgeting_funding,Compare the activity counts and expenditure of the 15th Finance Commission and the 5th State Finance Commission in Khordha for 2024-25.,SCH-008,SCH-008,Compare the activity counts and expenditure of XV Finance Commission and 5TH STATE FINANCE COMMISSION in Khordha for 2024-2025.,"{""date_range"": ""2024-2025"", ""scheme"": ""XV Finance Commission"", ""scheme_2"": ""5TH STATE FINANCE COMMISSION"", ""district_name"": ""Khordha""}",hit,hit/hit/hit,
1413,WP4a-gold/budgeting_funding,SFC ke under Bhubaneswar me General/SC/ST funding split kya hai 2024-25 me?,SCH-010,SCH-010,What is the General/SC/ST funding split under 5TH STATE FINANCE COMMISSION in Bhubaneswar for 2024-2025?,"{""date_range"": ""2024-2025"", ""scheme"": ""5TH STATE FINANCE COMMISSION"", ""block_name"": ""Bhubaneswar""}",hit,hit/hit/hit,
1414,WP4a-gold/budgeting_funding,What is the district-wise activity count under the XV Finance Commission for 2024-2025?,SCH-011,SCH-011,What is the district-wise activity count under XV Finance Commission for 2024-2025?,"{""date_range"": ""2024-2025"", ""scheme"": ""XV Finance Commission"", ""group_by"": ""district""}",hit,hit/hit/hit,
