view,view_title,rank,label  (real | already-known | spurious),operator_notes,summary,figures,pattern_type,measure,breakdown,subspace,varied_along,hdp_size,commonness,exceptions,n_exceptions,score,conciseness,impact,fy_2023_24_caveat
view1,Activity Lifecycle - Every Planned Work and Its Money,11,spurious,Size artifact: unspent money sits where most activities sit.,"Across nearly all gp_name values (18/20), Activity Approved has the lowest overspend_vs_plan among status_label values. Exception: Boipariguda (no clear pattern); Laxmipur (no clear pattern)","total Rs -51.96 crore; Activity Approved = Rs -41.61 crore; top: WORK COMPLETED = Rs 18,797; top: Buildings = Rs -10.88 lakh; top: UNDER APPROVAL = Rs -37.60 lakh",OUTSTANDING_LAST,overspend_vs_plan,status_label,(whole view),subspace on gp_name,20,"('Activity Approved',) in 18/20 (90%): Hirlipali, Bandhpali, Bhatigaon, Bheden, Dadhapatna, Govindapur, Biswamathpur, Sharagada, Chikilli, Dutimendi, Andhrua, Barimunda, Itipur, Kalimela, Kalyansinghpur, Karuabahal, Haldikudar, Mendarajpur",Boipariguda [NO_PATTERN] | Laxmipur [NO_PATTERN],2,0.7384,0.7384,1.0,
view1,Activity Lifecycle - Every Planned Work and Its Money,12,already-known,Operator: keep in report. Chikilli zero sanction costs every FY - known from WP-D0/D1; engine validation.,"Across all fiscal_year values, Chikilli has the lowest work_proposed_cost among gp_name values",total Rs 28.88 crore; Chikilli = Rs 0 (0.0%); top: Sharagada = Rs 2.74 crore (9.5%); top: Kalimela = Rs 2.09 crore (7.2%); top: Laxmipur = Rs 1.88 crore (6.5%),OUTSTANDING_LAST,work_proposed_cost,gp_name,(whole view),subspace on fiscal_year,6,"('Chikilli',) in 6/6 (100%): 2020-2021, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026",,0,0.7211,0.7211,1.0,
view1,Activity Lifecycle - Every Planned Work and Its Money,13,already-known,Operator: not super insightful. True and mandate-consistent.,"Across all fiscal_year values, Drinking water and Sanitation lead in is_started among focus_area_name values","total 2,127 activities; Drinking water = 548 activities (25.8%); Sanitation = 620 activities (29.1%); top: Sanitation = 620 activities (29.1%); top: Drinking water = 548 activities (25.8%); top: Roads = 211 activities (9.9%)",TOP_TWO,is_started,focus_area_name,(whole view),subspace on fiscal_year,6,"('Drinking water', 'Sanitation') in 6/6 (100%): 2020-2021, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026",,0,0.7211,0.7211,1.0,yes
view1,Activity Lifecycle - Every Planned Work and Its Money,14,already-known,Operator: not super insightful.,"Across all fiscal_year values, Maintenance and New/Fresh lead in n_activities among work_type_label values","total 12,704 activities; Maintenance = 1,207 activities (9.5%); New/Fresh = 11,047 activities (87.0%); top: New/Fresh = 11,047 activities (87.0%); top: Maintenance = 1,207 activities (9.5%); top: Unknown = 346 activities (2.7%)",TOP_TWO,n_activities,work_type_label,(whole view),subspace on fiscal_year,6,"('Maintenance', 'New/Fresh') in 6/6 (100%): 2020-2021, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026",,0,0.7211,0.7211,1.0,yes
view1,Activity Lifecycle - Every Planned Work and Its Money,15,spurious,Size artifact (largest work types carry most unspent). Operator: not insightful.,"Across all fiscal_year values, Maintenance and New/Fresh are lowest in overspend_vs_plan among work_type_label values",total Rs -51.96 crore; Maintenance = Rs -15.11 crore; New/Fresh = Rs -34.36 crore; top: Upgradation = Rs -93.94 lakh; top: Unknown = Rs -1.55 crore; top: Maintenance = Rs -15.11 crore,LAST_TWO,overspend_vs_plan,work_type_label,(whole view),subspace on fiscal_year,6,"('Maintenance', 'New/Fresh') in 6/6 (100%): 2020-2021, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026",,0,0.7211,0.7211,1.0,
view2,Monthly Money Flows by Gram Panchayat,1,real,"Reframe mandatory: likely growth in LINKING practice, not spending (payments flat by FY; links 30 -> 2,122). Present as recording-completeness story.","Across all temporal_grain values, activity_linked_expenditure is increasing over (varies)",Varies across members -- see individual patterns,TREND,activity_linked_expenditure,(varies),(whole view),breakdown on temporal_grain,3,"('INCREASING',) in 3/3 (100%): month, quarter, fiscal_year",,0,0.7211,0.7211,1.0,
view2,Monthly Money Flows by Gram Panchayat,2,already-known,"Operator: even if known, useful to restate. Size context (3 of 20 GPs); revisit with per-GP intensity denominator (D2c).","Across most fiscal_year values (5/6), Bhubaneswar has the highest payment_count among block_name values. Exception: 2024-2025 (no clear pattern)","total 8,529 vouchers; Bhubaneswar = 2,135 vouchers (25.0%); top: Bhubaneswar = 2,135 vouchers (25.0%); top: Rangeilunda = 945 vouchers (11.1%); top: Bheden = 885 vouchers (10.4%)",OUTSTANDING_1,payment_count,block_name,(whole view),subspace on fiscal_year,6,"('Bhubaneswar',) in 5/6 (83%): 2022-2023, 2025-2026, 2023-2024, 2021-2022, 2020-2021",2024-2025 [NO_PATTERN],1,0.6373,0.6373,1.0,
view2,Monthly Money Flows by Gram Panchayat,3,already-known,March year-end pulse. Operator: useful to restate.,"Across most temporal_grain values (2/3), payment_count shows seasonal pattern (PERIOD_12) over (varies). Exception: fiscal_year (no clear pattern)",Varies across members -- see individual patterns,SEASONALITY,payment_count,(varies),(whole view),breakdown on temporal_grain,3,"('PERIOD_12',) in 2/3 (67%): month, quarter",fiscal_year [NO_PATTERN],1,0.4877,0.4877,1.0,
view2,Monthly Money Flows by Gram Panchayat,4,real,"Same linkage reframe as rank 1; the flat districts (Bargarh, Cuttack, Koraput) are the actionable exceptions.","Across most district_name values (6/9), activity_linked_expenditure is increasing over quarter. Exception: Bargarh (different pattern); Cuttack (different pattern); Koraput (different pattern)",total Rs 24.00 crore; top: 2026-Q1 = Rs 1.99 crore (8.3%); top: 2025-Q1 = Rs 1.92 crore (8.0%); top: 2023-Q1 = Rs 1.79 crore (7.4%),TREND,activity_linked_expenditure,quarter,(whole view),subspace on district_name,9,"('INCREASING',) in 6/9 (67%): Khordha, Sundargarh, Malkangiri, Rayagada, Ganjam, Kandhamal",Bargarh [TYPE_CHANGE] | Cuttack [TYPE_CHANGE] | Koraput [TYPE_CHANGE],3,0.4877,0.4877,1.0,
view2,Monthly Money Flows by Gram Panchayat,5,spurious,Size repeat of rank 2 across measures; revisit after intensity measures (D2c).,"Across most measure values (4/7), Bhubaneswar has the highest (varies) among block_name values. Exception: activity_linked_expenditure (no clear pattern); sanctioned_amount (no clear pattern); sanctions_count (different pattern)",Varies across members -- see individual patterns,OUTSTANDING_1,(varies),block_name,(whole view),measure on measure,7,"('Bhubaneswar',) in 4/7 (57%): payment_amount, receipt_amount, payment_count, receipt_count",activity_linked_expenditure [NO_PATTERN] | sanctioned_amount [NO_PATTERN] | sanctions_count [TYPE_CHANGE],3,0.2308,0.2308,1.0,
view2,Monthly Money Flows by Gram Panchayat,6,already-known,Year-end seasonality across cash measures; the PERIOD_3 on linked expenditure worth a second look post-D2c.,"Across most measure values (4/7), (varies) shows seasonal pattern (PERIOD_12) over month. Exception: activity_linked_expenditure ((varies) shows seasonal pattern (PERIOD_3) over month); sanctions_count (different pattern); sanctioned_amount (different pattern)",Varies across members -- see individual patterns,SEASONALITY,(varies),month,(whole view),measure on measure,7,"('PERIOD_12',) in 4/7 (57%): payment_amount, receipt_amount, payment_count, receipt_count","activity_linked_expenditure [HIGHLIGHT_CHANGE] ('PERIOD_3',) | sanctions_count [TYPE_CHANGE] | sanctioned_amount [TYPE_CHANGE]",3,0.2308,0.2308,1.0,
view2,Monthly Money Flows by Gram Panchayat,7,spurious,PM proposal (row was omitted from the session grouping in error; operator to confirm): noisy seasonality-period variants on a sparse quarterly series.,"Across most district_name values (5/9), activity_linked_expenditure shows seasonal pattern (PERIOD_12) over quarter. Exceptions: Sundargarh (activity_linked_expenditure shows seasonal pattern (PERIOD_6) over quarter); Rayagada (activity_linked_expenditure shows seasonal pattern (PERIOD_3) over quarter); Malkangiri (different pattern) and 1 others",total Rs 24.00 crore; top: 2026-Q1 = Rs 1.99 crore (8.3%); top: 2025-Q1 = Rs 1.92 crore (8.0%); top: 2023-Q1 = Rs 1.79 crore (7.4%),SEASONALITY,activity_linked_expenditure,quarter,(whole view),subspace on district_name,9,"('PERIOD_12',) in 5/9 (56%): Khordha, Bargarh, Cuttack, Ganjam, Koraput","Sundargarh [HIGHLIGHT_CHANGE] ('PERIOD_6',) | Rayagada [HIGHLIGHT_CHANGE] ('PERIOD_3',) | Malkangiri [TYPE_CHANGE] | Kandhamal [TYPE_CHANGE]",4,0.1992,0.1992,1.0,
view2,Monthly Money Flows by Gram Panchayat,8,real,Operator: real. Sanctions accelerating (late-2025/early-2026 cluster).,"Across most temporal_grain values (2/3), sanctions_count is increasing over (varies). Exception: month (different pattern)",Varies across members -- see individual patterns,TREND,sanctions_count,(varies),(whole view),breakdown on temporal_grain,3,"('INCREASING',) in 2/3 (67%): quarter, fiscal_year",month [TYPE_CHANGE],1,0.4877,0.4877,1.0,
view2,Monthly Money Flows by Gram Panchayat,9,already-known,Year-end receipts pulse.,"Across most temporal_grain values (2/3), receipt_count shows seasonal pattern (PERIOD_12) over (varies). Exception: fiscal_year (different pattern)",Varies across members -- see individual patterns,SEASONALITY,receipt_count,(varies),(whole view),breakdown on temporal_grain,3,"('PERIOD_12',) in 2/3 (67%): month, quarter",fiscal_year [TYPE_CHANGE],1,0.4877,0.4877,1.0,
view2,Monthly Money Flows by Gram Panchayat,10,spurious,Size-driven (Ganjam = 4 GPs); revisit with per-GP intensity denominator (D2c).,"Across most measure values (6/7), Ganjam has the highest (varies) among district_name values. Exception: payment_count (different pattern)",Varies across members -- see individual patterns,OUTSTANDING_1,(varies),district_name,fiscal_year=2025-2026,measure on measure,7,"('Ganjam',) in 6/7 (86%): payment_amount, receipt_amount, receipt_count, activity_linked_expenditure, sanctions_count, sanctioned_amount",payment_count [TYPE_CHANGE],1,0.1559,0.6699,0.2327,
view2,Monthly Money Flows by Gram Panchayat,11,real,Same linkage reframe; the seven flat blocks are the actionable exceptions.,"Across most block_name values (9/16), activity_linked_expenditure is increasing over quarter. Exceptions: Barpali (different pattern); Bheden (different pattern); Baranga (different pattern) and 4 others",total Rs 24.00 crore; top: 2026-Q1 = Rs 1.99 crore (8.3%); top: 2025-Q1 = Rs 1.92 crore (8.0%); top: 2023-Q1 = Rs 1.79 crore (7.4%),TREND,activity_linked_expenditure,quarter,(whole view),subspace on block_name,16,"('INCREASING',) in 9/16 (56%): Bhubaneswar, Lahunipara, Kalimela, Kalyansingpur, Balisankara, Sheragada, Khajuripada, Laxmipur, Khallikote",Barpali [TYPE_CHANGE] | Bheden [TYPE_CHANGE] | Baranga [TYPE_CHANGE] | Attabira [TYPE_CHANGE] | Rangeilunda [TYPE_CHANGE] | Boipariguda [TYPE_CHANGE] | Tangi Choudwar [TYPE_CHANGE],7,0.4484,0.4484,1.0,
view2,Monthly Money Flows by Gram Panchayat,12,spurious,Size repeat; denominator revisit (D2c).,"Across most measure values (5/7), Bhubaneswar and Rangeilunda lead in (varies) among block_name values. Exception: sanctions_count (different pattern); sanctioned_amount (different pattern)",Varies across members -- see individual patterns,TOP_TWO,(varies),block_name,fiscal_year=2025-2026,measure on measure,7,"('Bhubaneswar', 'Rangeilunda') in 5/7 (71%): payment_amount, receipt_amount, payment_count, receipt_count, activity_linked_expenditure",sanctions_count [TYPE_CHANGE] | sanctioned_amount [TYPE_CHANGE],2,0.1207,0.5185,0.2327,
view2,Monthly Money Flows by Gram Panchayat,13,real,Operator: COVID. Aug 2020 shift in Ganjam = post-first-wave resumption. Add known-events context to reading notes (D2c).,"Across most measure values (4/7), (varies) has a significant shift at 2020-08 in month. Exception: activity_linked_expenditure ((varies) has a significant shift at 2020-11 in month); sanctions_count ((varies) has a significant shift at 2020-10 in month); sanctioned_amount ((varies) has a significant shift at 2020-10 in month)",Varies across members -- see individual patterns,CHANGE_POINT,(varies),month,district_name=Ganjam,measure on measure,7,"('2020-08',) in 4/7 (57%): payment_amount, receipt_amount, payment_count, receipt_count","activity_linked_expenditure [HIGHLIGHT_CHANGE] ('2020-11',) | sanctions_count [HIGHLIGHT_CHANGE] ('2020-10',) | sanctioned_amount [HIGHLIGHT_CHANGE] ('2020-10',)",3,0.1112,0.4503,0.2469,
view2,Monthly Money Flows by Gram Panchayat,14,real,"Operator: real - COVID. FY 2020-21 within-year ramp = lockdown then recovery, not a generic fiscal ramp.","Across most temporal_grain values (2/3), sanctioned_amount is increasing over (varies). Exception: fiscal_year (no clear pattern)",Varies across members -- see individual patterns,TREND,sanctioned_amount,(varies),fiscal_year=2020-2021,breakdown on temporal_grain,3,"('INCREASING',) in 2/3 (67%): month, quarter",fiscal_year [NO_PATTERN],1,0.111,0.4877,0.2275,
view2,Monthly Money Flows by Gram Panchayat,15,real,Subset of rank 1 (Bhubaneswar); collapse in presentation.,"Across all temporal_grain values, activity_linked_expenditure is increasing over (varies)",Varies across members -- see individual patterns,TREND,activity_linked_expenditure,(varies),block_name=Bhubaneswar,breakdown on temporal_grain,3,"('INCREASING',) in 3/3 (100%): month, quarter, fiscal_year",,0,0.1805,0.7211,0.2503,
view3,Gram Panchayat Report Card by Year,1,real,Operator: keep. Reframe as DATA-QUALITY: completion recording effectively ceased after 2022-23 (17 completions ever) - not a performance decline. FY caveat stays; feeds ministry data-quality annex.,"Across most gp_name values (17/20), n_completed is decreasing over fiscal_year. Exception: Dutimendi (no clear pattern); Andhrua (no clear pattern); Kalimela (no clear pattern)",total 17 activities; top: 2021-2022 = 6 activities (35.3%); top: 2022-2023 = 6 activities (35.3%); top: 2020-2021 = 3 activities (17.6%),TREND,n_completed,fiscal_year,(whole view),subspace on gp_name,20,"('DECREASING',) in 17/20 (85%): Hirlipali, Bandhpali, Bhatigaon, Bheden, Dadhapatna, Govindapur, Chikilli, Biswamathpur, Sharagada, Barimunda, Itipur, Boipariguda, Laxmipur, Kalyansinghpur, Karuabahal, Haldikudar, Mendarajpur",Dutimendi [NO_PATTERN] | Andhrua [NO_PATTERN] | Kalimela [NO_PATTERN],3,0.6598,0.6598,1.0,yes
view3,Gram Panchayat Report Card by Year,2,real,Operator: keep. Twin of rank 1 at block grain; same reframe.,"Across most block_name values (13/16), n_completed is decreasing over fiscal_year. Exception: Khajuripada (no clear pattern); Bhubaneswar (no clear pattern); Kalimela (no clear pattern)",total 17 activities; top: 2021-2022 = 6 activities (35.3%); top: 2022-2023 = 6 activities (35.3%); top: 2020-2021 = 3 activities (17.6%),TREND,n_completed,fiscal_year,(whole view),subspace on block_name,16,"('DECREASING',) in 13/16 (81%): Attabira, Barpali, Bheden, Baranga, Tangi Choudwar, Khallikote, Rangeilunda, Sheragada, Boipariguda, Laxmipur, Kalyansingpur, Balisankara, Lahunipara",Khajuripada [NO_PATTERN] | Bhubaneswar [NO_PATTERN] | Kalimela [NO_PATTERN],3,0.6116,0.6116,1.0,yes
view3,Gram Panchayat Report Card by Year,3,spurious,Abstract meta-finding (evenness across measures); unreadable as ranked.,"Across most measure values (10/18), (varies) is evenly distributed across gp_name values. Exceptions: n_plans (no clear pattern); sanctioned_total (no clear pattern); n_completed (no clear pattern) and 5 others",Varies across members -- see individual patterns,EVENNESS,(varies),gp_name,district_name=Bargarh,measure on measure,18,"('EVEN',) in 10/18 (56%): n_activities, n_costless, expenditure_total, overspend_vs_plan, overspend_vs_sanction, n_admin_approvals, n_tech_approvals, n_ongoing, n_with_evidence, evidence_uploads",n_plans [NO_PATTERN] | sanctioned_total [NO_PATTERN] | n_completed [NO_PATTERN] | n_costed [TYPE_CHANGE] | planned_cost [TYPE_CHANGE] | payment_amount [TYPE_CHANGE] | receipt_amount [TYPE_CHANGE] | n_abandoned [TYPE_CHANGE],8,0.0507,0.2105,0.241,
