view,view_title,rank,label  (real | already-known | spurious),operator_notes,summary,figures,pattern_type,measure,breakdown,subspace,varied_along,hdp_size,commonness,exceptions,n_exceptions,score,conciseness,impact,fy_2023_24_caveat,merged_twin,framing_applied,new_in_this_run
view1,Activity Lifecycle - Every Planned Work and Its Money,11,real,PM-proposed (not explicitly relabeled in session 2): kin of the code-concentration family; decode-held. Operator to confirm.,"Across all activity_for_label values, Code 101 and Code 105 are lowest in overspend_vs_plan among output_type_label values",total Rs -51.96 crore; Code 101 = Rs -30.97 crore; Code 105 = Rs -15.11 crore; top: Code 109 = Rs 0; top: Code 110 = Rs -5.11 lakh; top: Code 102 = Rs -61.67 lakh,LAST_TWO,overspend_vs_plan,output_type_label,(whole view),subspace on activity_for_label,4,"('Code 101', 'Code 105') in 4/4 (100%): ALL/ General public, General, sc, st",,0,0.7211,0.7211,1.0,,,size shares attached (2b),
view1,Activity Lifecycle - Every Planned Work and Its Money,12,real,"Operator SME insight: XV FC tied grants are earmarked - share should be 100% (or a rule-defined split), and 97.6% is neither. The Rs 42 lakh of tied money on other focus areas is the finding (possible earmark leakage). Elevate in report.","Across all activity_for_label values, Drinking water and Sanitation lead in fund_tied_total among focus_area_name values",total Rs 17.66 crore; Drinking water = Rs 8.42 crore (47.7%); Sanitation = Rs 8.82 crore (49.9%); top: Sanitation = Rs 8.82 crore (49.9%); top: Drinking water = Rs 8.42 crore (47.7%); top: Roads = Rs 31.01 lakh (1.8%),TOP_TWO,fund_tied_total,focus_area_name,is_costless=Costed,subspace on activity_for_label,4,"('Drinking water', 'Sanitation') in 4/4 (100%): ALL/ General public, General, sc, st",,0,0.7211,0.7211,1.0,,,size shares attached (2b),yes
view1,Activity Lifecycle - Every Planned Work and Its Money,13,already-known,Carried from session 1: Chikilli zero sanctions - operator keeps it in the report.,"Across all fiscal_year values, Chikilli has the lowest fund_sanctioned_total among gp_name values",total Rs 28.84 crore; Chikilli = Rs 0 (0.0%); top: Sharagada = Rs 2.74 crore (9.5%); top: Kalimela = Rs 2.08 crore (7.2%); top: Laxmipur = Rs 1.88 crore (6.5%),OUTSTANDING_LAST,fund_sanctioned_total,gp_name,(whole view),subspace on fiscal_year,6,"('Chikilli',) in 6/6 (100%): 2023-2024, 2024-2025, 2025-2026, 2021-2022, 2020-2021, 2022-2023",,0,0.7211,0.7211,1.0,,,size shares attached (2b),
view1,Activity Lifecycle - Every Planned Work and Its Money,14,already-known,"PM-proposed (not explicitly relabeled): 'Other' component holds 3.6% - composition fact, low insight. Operator to confirm.","Across all fiscal_year values, Other has the lowest gen_amount among tied_untied values",total Rs 28.48 crore; Other = Rs 1.02 crore (3.6%); top: Untied = Rs 16.75 crore (58.8%); top: Tied = Rs 10.71 crore (37.6%); top: Other = Rs 1.02 crore (3.6%),OUTSTANDING_LAST,gen_amount,tied_untied,(whole view),subspace on fiscal_year,6,"('Other',) in 6/6 (100%): 2023-2024, 2024-2025, 2025-2026, 2021-2022, 2020-2021, 2022-2023",,0,0.7211,0.7211,1.0,,,size shares attached (2b),
view1,Activity Lifecycle - Every Planned Work and Its Money,15,real,Carried from session-1 family (#9/#10 stuck-at-approval); FY 2023-24 caveat applies.,"Across all fiscal_year values, Activity Approved and WORK ONGOING lead in n_activities among status_label values","total 12,704 activities; Activity Approved = 10,108 activities (79.6%); WORK ONGOING = 2,110 activities (16.6%); top: Activity Approved = 10,108 activities (79.6%); top: WORK ONGOING = 2,110 activities (16.6%); top: WORK ABANDONED = 420 activities (3.3%)",TOP_TWO,n_activities,status_label,(whole view),subspace on fiscal_year,6,"('Activity Approved', 'WORK ONGOING') in 6/6 (100%): 2023-2024, 2024-2025, 2025-2026, 2021-2022, 2020-2021, 2022-2023",,0,0.7211,0.7211,1.0,yes,,,
view2,Monthly Money Flows by Gram Panchayat,1,,,"Across all temporal_grain values, activity_linked_expenditure is increasing over (varies)",Varies across members -- see individual patterns,TREND,activity_linked_expenditure,(varies),(whole view),breakdown on temporal_grain,3,"('INCREASING',) in 3/3 (100%): month, quarter, fiscal_year",,0,0.7211,0.7211,1.0,,,recording-completeness framing (A6),
view2,Monthly Money Flows by Gram Panchayat,2,,,"Across most fiscal_year values (5/6), Bhubaneswar has the highest payment_count among block_name values. Exception: 2024-2025 (no clear pattern)","total 8,529 vouchers; Bhubaneswar = 2,135 vouchers (25.0%); top: Bhubaneswar = 2,135 vouchers (25.0%); top: Rangeilunda = 945 vouchers (11.1%); top: Bheden = 885 vouchers (10.4%)",OUTSTANDING_1,payment_count,block_name,(whole view),subspace on fiscal_year,6,"('Bhubaneswar',) in 5/6 (83%): 2020-2021, 2021-2022, 2022-2023, 2023-2024, 2025-2026",2024-2025 [NO_PATTERN],1,0.6373,0.6373,1.0,,,,
view2,Monthly Money Flows by Gram Panchayat,3,,,"Across most temporal_grain values (2/3), payment_count shows seasonal pattern (PERIOD_12) over (varies). Exception: fiscal_year (no clear pattern)",Varies across members -- see individual patterns,SEASONALITY,payment_count,(varies),(whole view),breakdown on temporal_grain,3,"('PERIOD_12',) in 2/3 (67%): month, quarter",fiscal_year [NO_PATTERN],1,0.4877,0.4877,1.0,,,,
view2,Monthly Money Flows by Gram Panchayat,4,,,"Across most district_name values (6/9), activity_linked_expenditure is increasing over quarter. Exception: Bargarh (different pattern); Koraput (different pattern); Cuttack (different pattern)",total Rs 24.00 crore; top: 2026-Q1 = Rs 1.99 crore (8.3%); top: 2025-Q1 = Rs 1.92 crore (8.0%); top: 2023-Q1 = Rs 1.79 crore (7.4%),TREND,activity_linked_expenditure,quarter,(whole view),subspace on district_name,9,"('INCREASING',) in 6/9 (67%): Khordha, Ganjam, Kandhamal, Sundargarh, Malkangiri, Rayagada",Bargarh [TYPE_CHANGE] | Koraput [TYPE_CHANGE] | Cuttack [TYPE_CHANGE],3,0.4877,0.4877,1.0,,,recording-completeness framing (A6),
view2,Monthly Money Flows by Gram Panchayat,5,,,"Across most measure values (6/9), (varies) shows seasonal pattern (PERIOD_12) over month. Exception: activity_linked_expenditure ((varies) shows seasonal pattern (PERIOD_3) over month); sanctions_count (different pattern); sanctioned_amount (different pattern)",Varies across members -- see individual patterns,SEASONALITY,(varies),month,(whole view),measure on measure,9,"('PERIOD_12',) in 6/9 (67%): payment_amount, receipt_amount, payment_count, receipt_count, payment_amount_mean, receipt_amount_mean","activity_linked_expenditure [HIGHLIGHT_CHANGE] ('PERIOD_3',) | sanctions_count [TYPE_CHANGE] | sanctioned_amount [TYPE_CHANGE]",3,0.3169,0.3169,1.0,,,,
view2,Monthly Money Flows by Gram Panchayat,6,,,"Across most district_name values (5/9), activity_linked_expenditure shows seasonal pattern (PERIOD_12) over quarter. Exceptions: Sundargarh (activity_linked_expenditure shows seasonal pattern (PERIOD_6) over quarter); Rayagada (activity_linked_expenditure shows seasonal pattern (PERIOD_3) over quarter); Kandhamal (different pattern) and 1 others",total Rs 24.00 crore; top: 2026-Q1 = Rs 1.99 crore (8.3%); top: 2025-Q1 = Rs 1.92 crore (8.0%); top: 2023-Q1 = Rs 1.79 crore (7.4%),SEASONALITY,activity_linked_expenditure,quarter,(whole view),subspace on district_name,9,"('PERIOD_12',) in 5/9 (56%): Khordha, Bargarh, Ganjam, Koraput, Cuttack","Sundargarh [HIGHLIGHT_CHANGE] ('PERIOD_6',) | Rayagada [HIGHLIGHT_CHANGE] ('PERIOD_3',) | Kandhamal [TYPE_CHANGE] | Malkangiri [TYPE_CHANGE]",4,0.1992,0.1992,1.0,,,recording-completeness framing (A6),
view2,Monthly Money Flows by Gram Panchayat,7,,,"Across most temporal_grain values (2/3), receipt_count shows seasonal pattern (PERIOD_12) over (varies). Exception: fiscal_year (different pattern)",Varies across members -- see individual patterns,SEASONALITY,receipt_count,(varies),(whole view),breakdown on temporal_grain,3,"('PERIOD_12',) in 2/3 (67%): month, quarter",fiscal_year [TYPE_CHANGE],1,0.4877,0.4877,1.0,,,,
view2,Monthly Money Flows by Gram Panchayat,8,,,"Across most temporal_grain values (2/3), sanctions_count is increasing over (varies). Exception: month (different pattern)",Varies across members -- see individual patterns,TREND,sanctions_count,(varies),(whole view),breakdown on temporal_grain,3,"('INCREASING',) in 2/3 (67%): quarter, fiscal_year",month [TYPE_CHANGE],1,0.4877,0.4877,1.0,,,,
view2,Monthly Money Flows by Gram Panchayat,9,,,"Across most block_name values (9/16), activity_linked_expenditure is increasing over quarter. Exceptions: Barpali (different pattern); Bheden (different pattern); Rangeilunda (different pattern) and 4 others",total Rs 24.00 crore; top: 2026-Q1 = Rs 1.99 crore (8.3%); top: 2025-Q1 = Rs 1.92 crore (8.0%); top: 2023-Q1 = Rs 1.79 crore (7.4%),TREND,activity_linked_expenditure,quarter,(whole view),subspace on block_name,16,"('INCREASING',) in 9/16 (56%): Bhubaneswar, Khallikote, Khajuripada, Lahunipara, Kalimela, Kalyansingpur, Balisankara, Laxmipur, Sheragada",Barpali [TYPE_CHANGE] | Bheden [TYPE_CHANGE] | Rangeilunda [TYPE_CHANGE] | Boipariguda [TYPE_CHANGE] | Baranga [TYPE_CHANGE] | Tangi Choudwar [TYPE_CHANGE] | Attabira [TYPE_CHANGE],7,0.4484,0.4484,1.0,,,recording-completeness framing (A6),
view2,Monthly Money Flows by Gram Panchayat,10,,,"Across most measure values (6/9), (varies) has a significant shift at 2020-08 in month. Exception: activity_linked_expenditure ((varies) has a significant shift at 2020-11 in month); sanctions_count ((varies) has a significant shift at 2020-10 in month); sanctioned_amount ((varies) has a significant shift at 2020-10 in month)",Varies across members -- see individual patterns,CHANGE_POINT,(varies),month,district_name=Ganjam,measure on measure,9,"('2020-08',) in 6/9 (67%): payment_amount, receipt_amount, payment_count, receipt_count, payment_amount_mean, receipt_amount_mean","activity_linked_expenditure [HIGHLIGHT_CHANGE] ('2020-11',) | sanctions_count [HIGHLIGHT_CHANGE] ('2020-10',) | sanctioned_amount [HIGHLIGHT_CHANGE] ('2020-10',)",3,0.1204,0.4877,0.2469,,,,
view2,Monthly Money Flows by Gram Panchayat,11,,,"Across most measure values (6/9), Ganjam has the highest (varies) among district_name values. Exception: payment_count (different pattern); payment_amount_mean (different pattern); receipt_amount_mean (different pattern)",Varies across members -- see individual patterns,OUTSTANDING_1,(varies),district_name,fiscal_year=2025-2026,measure on measure,9,"('Ganjam',) in 6/9 (67%): payment_amount, receipt_amount, receipt_count, activity_linked_expenditure, sanctions_count, sanctioned_amount",payment_count [TYPE_CHANGE] | payment_amount_mean [TYPE_CHANGE] | receipt_amount_mean [TYPE_CHANGE],3,0.1135,0.4877,0.2327,,,per-GP-month companion (A4); size shares attached (2b),
view2,Monthly Money Flows by Gram Panchayat,12,,,"Across most temporal_grain values (2/3), sanctioned_amount is increasing over (varies). Exception: fiscal_year (no clear pattern)",Varies across members -- see individual patterns,TREND,sanctioned_amount,(varies),fiscal_year=2020-2021,breakdown on temporal_grain,3,"('INCREASING',) in 2/3 (67%): month, quarter",fiscal_year [NO_PATTERN],1,0.111,0.4877,0.2275,,,,
view2,Monthly Money Flows by Gram Panchayat,13,,,"Across all temporal_grain values, activity_linked_expenditure is increasing over (varies)",Varies across members -- see individual patterns,TREND,activity_linked_expenditure,(varies),block_name=Bhubaneswar,breakdown on temporal_grain,3,"('INCREASING',) in 3/3 (100%): month, quarter, fiscal_year",,0,0.1805,0.7211,0.2503,,,recording-completeness framing (A6),
view2,Monthly Money Flows by Gram Panchayat,14,,,"Across most measure values (6/9), Bheden has the highest (varies) among block_name values. Exception: activity_linked_expenditure (Barpali has the highest (varies) among block_name values); sanctions_count (Barpali has the highest (varies) among block_name values); sanctioned_amount (Barpali has the highest (varies) among block_name values)",Varies across members -- see individual patterns,OUTSTANDING_1,(varies),block_name,district_name=Bargarh,measure on measure,9,"('Bheden',) in 6/9 (67%): payment_amount, receipt_amount, payment_count, receipt_count, payment_amount_mean, receipt_amount_mean","activity_linked_expenditure [HIGHLIGHT_CHANGE] ('Barpali',) | sanctions_count [HIGHLIGHT_CHANGE] ('Barpali',) | sanctioned_amount [HIGHLIGHT_CHANGE] ('Barpali',)",3,0.0884,0.4877,0.1813,,,per-GP-month companion (A4); size shares attached (2b),
view2,Monthly Money Flows by Gram Panchayat,15,,,"Across most temporal_grain values (2/3), payment_amount_mean is increasing over (varies). Exception: fiscal_year (no clear pattern)",Varies across members -- see individual patterns,TREND,payment_amount_mean,(varies),fiscal_year=2024-2025,breakdown on temporal_grain,3,"('INCREASING',) in 2/3 (67%): month, quarter",fiscal_year [NO_PATTERN],1,0.0825,0.4877,0.1692,,,,
view3,Gram Panchayat Report Card by Year,1,,,"Across most district_name values (5/9), sanctioned_total is decreasing over fiscal_year. Exceptions: Kandhamal (sanctioned_total is increasing over fiscal_year); Khordha (no clear pattern); Ganjam (no clear pattern) and 1 others",total Rs 28.84 crore; top: 2020-2021 = Rs 6.13 crore (21.2%); top: 2021-2022 = Rs 5.51 crore (19.1%); top: 2024-2025 = Rs 4.63 crore (16.0%),TREND,sanctioned_total,fiscal_year,(whole view),subspace on district_name,9,"('DECREASING',) in 5/9 (56%): Bargarh, Koraput, Cuttack, Sundargarh, Malkangiri","Kandhamal [HIGHLIGHT_CHANGE] ('INCREASING',) | Khordha [NO_PATTERN] | Ganjam [NO_PATTERN] | Rayagada [NO_PATTERN]",4,0.246,0.246,1.0,,,,
view3,Gram Panchayat Report Card by Year,2,,,"Across most measure values (10/18), (varies) is evenly distributed across gp_name values. Uneven only in: n_plans (not evenly spread); sanctioned_total (not evenly spread); n_completed (not evenly spread) and 5 others -- this is about how the total is spread, not about how much any one of them spends",Varies across members -- see individual patterns,EVENNESS,(varies),gp_name,district_name=Bargarh,measure on measure,18,"('EVEN',) in 10/18 (56%): n_activities, n_costless, expenditure_total, overspend_vs_plan, overspend_vs_sanction, n_admin_approvals, n_tech_approvals, n_ongoing, n_with_evidence, evidence_uploads",n_plans [NO_PATTERN] | sanctioned_total [NO_PATTERN] | n_completed [NO_PATTERN] | n_costed [TYPE_CHANGE] | planned_cost [TYPE_CHANGE] | payment_amount [TYPE_CHANGE] | receipt_amount [TYPE_CHANGE] | n_abandoned [TYPE_CHANGE],8,0.0507,0.2105,0.241,,,evenness reframed (A3); size shares attached (2b),
