n,question,run_1,run_2,run_3,consistency,modal_query_id,modal_nl_question
1011,What percentage of Gram Panchayats in Bhubaneshwar block have uploaded their GPDP in 2024-2025?,PLN-003,PLN-003,PLN-003,3/3,PLN-003,What percentage of Gram Panchayats in Bhubaneswar have uploaded their GPDP in 2024-2025 (Khordha district)?
1012,Which blocks achieved 100% GPDP submission in 2024-2025?,PLN-006,PLN-006,PLN-006,3/3,PLN-006,Which Blocks have achieved 100% GPDP submission in 2024-2025?
1013,Which districts had the lowest GPDP submission rate last year?,PLN-007,PLN-007,PLN-007,3/3,PLN-007,Which Districts have the lowest GPDP submission rate in 2024-2025 (1)?
1014,How many GPs in Bhubaneswar uploaded the GPDP after 30 June 2024 in 2024-25?,PLN-008,PLN-008,PLN-008,3/3,PLN-008,How many GPs in Bhubaneswar uploaded the GPDP after the deadline 2024-06-30 in 2024-2025?
1015,"Sir, kindly let me know the GPDP status of Andhrua Gram Panchayat for the financial year 2024-2025.",PLN-012,PLN-012,PLN-012,3/3,PLN-012,What is the status of the GPDP for Andhrua in 2024-2025?
1016,what about last year?,PLN-012,PLN-012,PLN-012,3/3,PLN-012,What is the status of the GPDP for Andhrua in 2024-2025?
1017,Khordha me kitne GP ka GPDP approval abhi tak pending hai 2024-25 me?,PLN-014,PLN-014,PLN-014,3/3,PLN-014,How many Gram Panchayats in all blocks/Khordha are still awaiting GPDP approval in 2024-2025?
1018,Bhubaneswar block me GPDP approval rate kitna hai 2024-25 ka?,PLN-015,PLN-015,PLN-015,3/3,PLN-015,What is the GPDP approval rate for each Block in 2024-2025?
1019,Which blocks have the most pending GPDP approvals in 2024-2025?,PLN-020,PLN-020,PLN-020,3/3,PLN-020,Which Blocks have the highest number of pending GPDP approvals in 2024-2025 (1)?
1020,2024-2025 ରେ କେଉଁ ବ୍ଲକରେ ସବୁଠାରୁ ଅଧିକ GPDP ଅନୁମୋଦନ ବାକି ଅଛି?,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,3/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1021,How many activities are planned under each GPDP theme in Andhrua in 2024-25?,PLN-024,PLN-024,PLN-024,3/3,PLN-024,How many activities are planned under each GPDP theme in Andhrua in 2024-2025?
1022,Which GPDP theme has the highest number of planned activities in Khordha in 2024-2025?,PLN-029,PLN-029,PLN-029,3/3,PLN-029,Which GPDP theme has the highest number of planned activities in Khordha in 2024-2025 (1)?
1023,Which GPs planned the most activities under Clean and Green Village in 2024-25?,PLN-031,PLN-031,PLN-031,3/3,PLN-031,Which Gram Panchayats have planned the highest number of activities under Theme 5 - Clean and Green Village  in 2024-2025 (1)?
1024,How has the number of planned activities per theme changed year on year?,PLN-038,PLN-038,PLN-038,3/3,PLN-038,How has the number of planned activities under each theme changed over the last five years?
1025,Which themes showed the greatest increase in planned activities between 2023-24 and 2024-25?,PLN-039,PLN-039,PLN-039,3/3,PLN-039,Which themes have shown the greatest increase in planned activities between 2023-2024 and 2024-2025 (1)?
1026,Sanitation ke under 2024-25 me Andhrua me kitni activities plan hui?,CLARIFY:ambiguous_templates,SBM-SWM-001,PLN-049,1/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1027,Which focus area has the highest number of planned activities in 2024-2025?,PLN-052,PLN-052,PLN-052,3/3,PLN-052,Which focus area has the highest number of planned activities in 2024-2025 (1)?
1028,2024-2025 ରେ କେଉଁ ଫୋକସ ଏରିଆରେ କୌଣସି ଯୋଜନାବଦ୍ଧ କାର୍ଯ୍ୟ ନାହିଁ?,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,3/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1029,How many activities below Rs 1000 are planned theme-wise in 2024-2025?,PLU-006,PLU-006,PLU-006,3/3,PLU-006,How many low-cost activities (below 1000 rupees) are planned theme-wise in 2024-2025?
1030,Andhrua ke kitne percent activities 1 lakh se kam ki hain 2024-25 me?,PLU-009,PLU-009,PLU-009,3/3,PLU-009,What share of planned activities in Andhrua are low-cost (below 1 lakh (₹100000)) in 2024-2025?
1031,What is the cost-band split of activities in Khordha for 2024-2025?,PLU-007,PLU-007,PLU-007,3/3,PLU-007,"What is the cost-band split (below 500, 500-1000, above 1000) of activities in Khordha for 2024-2025?"
1032,Andhrua ka supplementary plan hai kya 2024-25 ke liye?,PLU-003,PLU-003,PLU-003,3/3,PLU-003,Does Andhrua have a supplementary plan in addition to the main plan for 2024-2025?
1033,How many fresh and how many maintenance activities does Andhrua have in 2024-25?,WRK-001,WRK-001,WRK-001,3/3,WRK-001,How many fresh and how many maintenance activities does Andhrua have in 2024-2025?
1034,What share of Khordha's expenditure went to maintenance in 2024-2025?,WRK-003,WRK-003,WRK-003,3/3,WRK-003,What share of total expenditure in Khordha went to maintenance activities in 2024-2025?
1035,Bhubaneswar ke kaun se GP maintenance par fresh asset se zyada kharch karte hain 2024-25 me?,WRK-005,WRK-005,WRK-005,3/3,WRK-005,Which GPs in Bhubaneswar spend more on maintenance than on fresh assets in 2024-2025?
1036,GPDP status?,CLARIFY:ambiguous_templates,CLARIFY:missing_parameter,CLARIFY:missing_parameter,2/3,CLARIFY:missing_parameter,(pipeline asked a clarifying question)
1037,How many GPs in Laxmipur uploaded the GPDP in 2024-25?,PLN-001,PLN-001,PLN-001,3/3,PLN-001,How many Gram Panchayats in Khordha/all blocks have uploaded the GPDP in 2024-2025?
1038,Bheden ka plan status 2024-25?,PLU-001,PLU-001,PLU-001,3/3,PLU-001,What is the status of the 2024-2025 plan of all GPs (Bheden block)?
1039,2025-26 re kaun kaun blockre GPDP anumodan re barambar bilamba huachi?,PLN-020,PLN-020,PLN-020,3/3,PLN-020,Which Blocks have the highest number of pending GPDP approvals in 2024-2025 (1)?
1040,Which themes have remained consistently among the top priorities over the last five years?,PLN-041?clarify:known_unanswerable,PLN-041?clarify:known_unanswerable,PLN-041?clarify:known_unanswerable,3/3,PLN-041?clarify:known_unanswerable,Which themes have remained consistently among the top priorities over the last five years?
1041,Attabira me kitni activities dusre panchayat tier ko delegate hui 2025-26 me?,PLU-005,PLU-005,PLU-005,3/3,PLU-005,How many activities in a given Block are delegated to another panchayat tier for execution in a given Plan Year?
1042,aur sabse kam?,PLN-052,PLN-052,PLN-052,3/3,PLN-052,Which focus area has the highest number of planned activities in 2024-2025 (1)?
1043,What percentage of Gram Panchayats in each block uploaded their GPDP in 2024-2025?,PLN-003,PLN-003,PLN-003,3/3,PLN-003,What percentage of Gram Panchayats in Bhubaneswar have uploaded their GPDP in 2024-2025 (Khordha district)?
1044,and Laxmipur?,PLN-003,PLN-003,PLN-003,3/3,PLN-003,What percentage of Gram Panchayats in Bhubaneswar have uploaded their GPDP in 2024-2025 (Khordha district)?
1045,Which themes showed the greatest decline in planned activities between 2023-24 and 2024-25?,PLN-040,PLN-040,PLN-040,3/3,PLN-040,Which themes have shown the greatest decline in planned activities between 2023-2024 and 2024-2025 (1)?
1046,Which GPs planned the most activities under the Water Sufficient Village theme in 2024-25?,PLN-031,PLN-031,PLN-031,3/3,PLN-031,Which Gram Panchayats have planned the highest number of activities under Theme 5 - Clean and Green Village  in 2024-2025 (1)?
1047,Which Gram Panchayats have not planned any activities under Theme 8 in 2024-25?,PLN-032,PLN-032,PLN-032,3/3,PLN-032,Which Gram Panchayats have not planned any activities under Theme 8 - Village with Good Governance in 2024-2025?
1048,Child Friendly Village theme ke under 2024-25 me kaunse GP ne koi activity plan nahi ki?,PLN-032,PLN-032,PLN-032,3/3,PLN-032,Which Gram Panchayats have not planned any activities under Theme 8 - Village with Good Governance in 2024-2025?
1049,2024-25 me Poverty Free and Enhanced Livelihoods Village theme ke under sabse zyada activities kis GP ne plan ki?,PLN-031,PLN-031,PLN-031,3/3,PLN-031,Which Gram Panchayats have planned the highest number of activities under Theme 5 - Clean and Green Village  in 2024-2025 (1)?
1201,How many community soak pits have been planned in 2024-25?,SBM-GWM-003,SBM-GWM-003,SBM-GWM-003,3/3,SBM-GWM-003,How many community soak pits have been planned in 2024-2025?
1202,and household ones?,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,SBM-GWM-003,2/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1203,How many soak pits were completed in 2024-2025?,SBM-GWM-006,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,2/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1204,What is the expenditure on Grey Water Management activities in 2024-25?,SBM-GWM-002,SBM-GWM-002,SBM-GWM-002,3/3,SBM-GWM-002,What is the expenditure on Grey Water Management activities in 2024-2025?
1205,2024-25 me kitne household soak pit complete hue?,SBM-GWM-011,SBM-GWM-011,SBM-GWM-011,3/3,SBM-GWM-011,How many household soak pits have been completed in 2024-2025?
1206,2024-2025 ରେ କେତେ ସାମୁଦାୟିକ ସୋକ୍‌ପିଟ୍ ଯୋଜନା କରାଯାଇଛି?,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,3/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1207,How many community soak pits have been approved in 2024-2025?,SBM-GWM-004,SBM-GWM-004,SBM-GWM-004,3/3,SBM-GWM-004,How many community soak pits have been approved in 2024-2025?
1208,What is the expenditure on household soak pits in 2024-25?,SBM-GWM-012,SBM-GWM-012,SBM-GWM-012,3/3,SBM-GWM-012,What is the expenditure on household soak pits in 2024-2025?
1209,How many single-pit to twin-pit toilet retrofits have been planned in 2024-2025?,SBM-SI-016,SBM-SI-016,SBM-SI-016,3/3,SBM-SI-016,How many single-pit to twin-pit toilet retrofits have been planned in 2024-2025?
1210,2024-25 me kitne IHHL complete hue?,SBM-SI-009,SBM-SI-009,SBM-SI-009,3/3,SBM-SI-009,How many Individual Household Latrines (IHHLs) have been completed in 2024-2025?
1211,Public institutions me kitne toilet ban gaye 2024-25 me?,SBM-SI-004,SBM-SI-004,SBM-SI-004,3/3,SBM-SI-004,How many toilets in public institutions have been completed in 2024-2025?
1212,What is the expenditure on toilets in public institutions in 2024-2025?,SBM-SI-005,SBM-SI-005,SBM-SI-005,3/3,SBM-SI-005,What is the expenditure on toilets in public institutions in 2024-2025?
1213,How many toilets and handwash units in AWCs and schools are ongoing in 2024-25?,SBM-SI-013,SBM-SI-013,SBM-SI-013,3/3,SBM-SI-013,How many toilets and handwash units in AWCs and schools are ongoing in 2024-2025?
1214,2024-2025 re kete anganwadi o school re toilet sarichi?,SBM-SI-014,SBM-SI-014,SBM-SI-014,3/3,SBM-SI-014,How many toilets and handwash units in AWCs and schools have been completed in 2024-2025?
1215,How many septic-tank-with-soak-pit retrofits have been approved in 2024-2025?,SBM-SI-022,SBM-SI-022,SBM-SI-022,3/3,SBM-SI-022,How many septic-tank-with-soak-pit retrofits have been approved in 2024-2025?
1216,2024-2025 ରେ କେତେ ବ୍ୟକ୍ତିଗତ ଘରୋଇ ଶୌଚାଳୟ ଯୋଜନା କରାଯାଇଛି?,SBM-SI-006,SBM-SI-006,SBM-SI-006,3/3,SBM-SI-006,How many Individual Household Latrines (IHHLs) have been planned in 2024-2025?
1217,How many community compost pits are ongoing in 2024-25?,SBM-SWM-004,SBM-SWM-004,SBM-SWM-004,3/3,SBM-SWM-004,How many community compost pits are ongoing in 2024-2025?
1218,Household compost pit par kitna kharcha hua 2024-25 me?,SBM-SWM-011,SBM-SWM-011,SBM-SWM-011,3/3,SBM-SWM-011,What is the expenditure on household compost pits in 2024-2025?
1219,2024-25 me kitne segregation shed ban kar taiyar ho gaye?,SBM-SWM-015,SBM-SWM-015,SBM-SWM-015,3/3,SBM-SWM-015,How many segregation sheds have been completed in 2024-2025?
1220,Segregation bins planned 24-25?,SBM-SWM-017,SBM-SWM-017,SBM-SWM-017,3/3,SBM-SWM-017,How many segregation bins have been planned in 2024-2025?
1221,2024-2025 re kete Gobardhan unit sampurna heichi?,SBM-SWM-027,SBM-SWM-027,SBM-SWM-027,3/3,SBM-SWM-027,How many Gobardhan units have been completed in 2024-2025?
1222,What is the expenditure on Gobardhan units in 2024-2025?,SBM-SWM-028,SBM-SWM-028,SBM-SWM-028,3/3,SBM-SWM-028,What is the expenditure on Gobardhan units in 2024-2025?
1223,Door-to-door kachra gaadi kitni chal rahi hain 2024-25 me?,SBM-SWM-031,SBM-SWM-031,SBM-SWM-031,3/3,SBM-SWM-031,How many door-to-door waste-collection vehicles are ongoing in 2024-2025?
1224,How many weighing machines have been planned in 2024-2025?,SBM-SWM-035,SBM-SWM-035,SBM-SWM-035,3/3,SBM-SWM-035,How many weighing machines have been planned in 2024-2025?
1225,How many Solid Waste Management activities have been planned in 2024-25?,SBM-SWM-001,SBM-SWM-001,SBM-SWM-001,3/3,SBM-SWM-001,How many Solid Waste Management activities have been planned in 2024-2025?
1226,What is the O&M expenditure on community sanitary complexes in 2024-2025?,SBM-OM-001,SBM-OM-001,SBM-OM-001,3/3,SBM-OM-001,What is the Operation & Maintenance expenditure on community sanitary complexes in 2024-2025?
1227,What is the Operation & Maintenance expenditure on segregation sheds in 2024-25?,SBM-OM-003,SBM-OM-003,SBM-OM-003,3/3,SBM-OM-003,What is the Operation & Maintenance expenditure on segregation sheds in 2024-2025?
1228,PPE kit aur safety equipment kitne plan hue 2024-25 me?,SBM-OM-008,SBM-OM-008,SBM-OM-008,3/3,SBM-OM-008,How many PPE kits and safety equipment purchases have been planned in 2024-2025?
1229,What is the total Operation & Maintenance expenditure in Andhrua in 2024-2025?,SBM-OM-010,SBM-OM-010,SBM-OM-010,3/3,SBM-OM-010,What is the total Operation & Maintenance expenditure in Andhrua in 2024-2025?
1230,2024-2025 ରେ ପ୍ଲାଷ୍ଟିକ ବର୍ଜ୍ୟବସ୍ତୁ ପରିଚାଳନା ୟୁନିଟ ପାଇଁ କେତେ ଖର୍ଚ୍ଚ ହୋଇଛି?,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,3/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1231,Faecal sludge management plant par kitna kharcha hua 2024-25 me?,SBM-OM-007,SBM-OM-007,SBM-OM-007,3/3,SBM-OM-007,What is the Operation & Maintenance expenditure on Faecal Sludge Management plants in 2024-2025?
1232,2024-25 me kitne compost pit complete hue?,SBM-SWM-005,SBM-SWM-005,CLARIFY:ambiguous_templates,2/3,SBM-SWM-005,How many community compost pits have been completed in 2024-2025?
1233,How many waste collection vehicles were repaired in 2024-25?,SBM-SWM-033,SBM-SWM-033,SBM-SWM-033,3/3,SBM-SWM-033,How many such vehicles have been repaired in a given year?
1234,How many toilets in public institutions are ongoing in 2024-2025?,SBM-SI-003,SBM-SI-003,SBM-SI-003,3/3,SBM-SI-003,How many toilets in public institutions are ongoing in 2024-2025?
1401,How much funding is recorded from each funding source in 2024-25?,BUD-002,BUD-002,BUD-002,3/3,BUD-002,How much funding is recorded from each funding source in 2024-2025?
1402,What percentage of the sanctioned budget is tied and untied in 2024-2025?,BUD-005,BUD-005,BUD-005,3/3,BUD-005,What percentage of the sanctioned budget is tied and untied in 2024-2025?
1403,Which focus area has the highest planned expenditure in 2024-25?,BUD-022,BUD-022,BUD-022,3/3,BUD-022,Which focus area has the highest planned expenditure in 2024-2025 (1)?
1404,and the lowest?,BUD-022,BUD-022,BUD-022,3/3,BUD-022,Which focus area has the highest planned expenditure in 2024-2025 (1)?
1405,Which GPDP theme has the highest planned expenditure in 2024-2025?,BUD-007,BUD-007,BUD-007,3/3,BUD-007,Which GPDP theme has the highest planned expenditure in 2024-2025 (1)?
1406,2024-25 me har theme ko kitna planned expenditure mila?,BUD-006,BUD-006,BUD-006,3/3,BUD-006,How much planned expenditure is allocated to each GPDP theme in 2024-2025?
1407,2024-2025 ରେ କେଉଁ ଫୋକସ ଏରିଆକୁ କୌଣସି ଯୋଜନାବଦ୍ଧ ଖର୍ଚ୍ଚ ମିଳିନାହିଁ?,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,3/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1408,Andhrua ko 2024-25 me total kitna fund mila?,BUD-001,BUD-001,BUD-001,3/3,BUD-001,How much total funding is recorded for Andhrua in 2024-2025?
1409,How many activities are recorded under CFC in Khordha for 2024-25?,SCH-001,SCH-001,SCH-001,3/3,SCH-001,How many activities are recorded under XV Finance Commission in Khordha for 2024-2025?
1410,Which scheme has the highest expenditure in Bhubaneswar for 2024-2025?,SCH-005,SCH-005,SCH-005,3/3,SCH-005,Which scheme has the highest expenditure in Bhubaneswar for 2024-2025 (1)?
1411,SFC vs CFC comparison,CLARIFY:ambiguous_templates,CLARIFY:missing_parameter,CLARIFY:ambiguous_templates,2/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1412,Compare the activity counts and expenditure of the 15th Finance Commission and the 5th State Finance Commission in Khordha for 2024-25.,SCH-008,SCH-008,SCH-008,3/3,SCH-008,Compare the activity counts and expenditure of XV Finance Commission and 5TH STATE FINANCE COMMISSION in Khordha for 2024-2025.
1413,SFC ke under Bhubaneswar me General/SC/ST funding split kya hai 2024-25 me?,SCH-010,SCH-010,SCH-010,3/3,SCH-010,What is the General/SC/ST funding split under 5TH STATE FINANCE COMMISSION in Bhubaneswar for 2024-2025?
1414,What is the district-wise activity count under the XV Finance Commission for 2024-2025?,SCH-011,SCH-011,SCH-011,3/3,SCH-011,What is the district-wise activity count under XV Finance Commission for 2024-2025?
1415,2024-2025 re Andhrua ra kama pain tied o untied panthi kete bhaga heichi?,BUD-005,BUD-005,BUD-005,3/3,BUD-005,What percentage of the sanctioned budget is tied and untied in 2024-2025?
1416,Khordha me 2024-25 me kitne percent sanctioned fund tied hai?,FND-004,FND-004,FND-004,3/3,FND-004,What percentage of sanctioned funds in Khordha is tied in 2024-2025?
1417,Bhubaneswar me SC aur ST ke liye kitna fund earmark hua 2024-25 me?,FND-005,FND-005,FND-005,3/3,FND-005,How much of the sanctioned funding in Bhubaneswar is earmarked for SC and ST categories in 2024-2025?
1418,Which GPs in Bhubaneswar have sanctioned activities but no SC/ST earmark in 2024-25?,FND-007,FND-007,FND-007,3/3,FND-007,Which GPs in Bhubaneswar have sanctioned activities but no SC/ST earmark in 2024-2025?
1419,2024-2025 ରେ ପ୍ରତ୍ୟେକ ପାଣ୍ଠି ଉତ୍ସରୁ କେତେ ଅର୍ଥ ମିଳିଛି?,CLARIFY:ambiguous_templates,CLARIFY:no_match,CLARIFY:no_match,2/3,CLARIFY:no_match,(pipeline asked a clarifying question)
1420,Which scheme funds the largest number of activities in Bhubaneswar in 2024-2025?,FND-009,FND-009,FND-009,3/3,FND-009,Which scheme funds the largest number of activities in Bhubaneswar in 2024-2025 (1)?
1421,"What is the fund allocated under XV Finance Commission at ZP, Block and GP tiers in Khordha for 2025-26?",SCH-004,SCH-004,SCH-004,3/3,SCH-004,"What is the fund allocated under a given Scheme at ZP, Block, and GP tiers in a given District for a given Plan Year?"
1422,2024-2025 re kaun scheme re sabuthara adhika kharcha heichi Bhubaneswar block re?,SCH-005,SCH-005,SCH-005,3/3,SCH-005,Which scheme has the highest expenditure in Bhubaneswar for 2024-2025 (1)?
1423,Which activities of Andhrua are funded under Own Funds in 2024-25?,SCH-002,SCH-002,SCH-002,3/3,SCH-002,Which activities of Andhrua are funded under Own Funds in 2024-2025 (10)?
1424,What is the total estimated cost of activities under the 14th Finance Commission in Bhubaneswar for 2023-24?,SCH-003,SCH-003,SCH-003,3/3,SCH-003,What is the total estimated cost of activities under Fourteen Finance Commission in Bhubaneswar for 2023-2024 (Khordha district)?
1425,Which GPs in Bhubaneswar have no activities under the 4th State Finance Scheme in 2024-25?,SCH-006,SCH-006,SCH-006,3/3,SCH-006,Which GPs in Bhubaneswar have no activities under 4TH STATE FINANCE SCHEME in 2024-2025?
1426,Khordha me XV Finance Commission ke under activities ka status breakdown kya hai 2024-25 me?,SCH-009,SCH-009,SCH-009,3/3,SCH-009,What is the status breakdown of activities under XV Finance Commission in Khordha for 2024-2025?
1427,What is the district-wise activity count under the 5th State Finance Commission for 2024-25?,SCH-011,SCH-011,SCH-011,3/3,SCH-011,What is the district-wise activity count under XV Finance Commission for 2024-2025?
1501,What is the total actual expenditure incurred by each GP in 2024-25?,EXP-001,EXP-001,EXP-001,3/3,EXP-001,What is the total actual expenditure incurred by each GP in 2024-2025?
1502,What percentage of the planned expenditure has been utilised in 2024-2025?,EXP-003,EXP-003,EXP-003,3/3,EXP-003,What percentage of the planned expenditure has been utilised in 2024-2025?
1503,and the unspent amount?,CLARIFY:missing_parameter,CLARIFY:missing_parameter,CLARIFY:missing_parameter,3/3,CLARIFY:missing_parameter,(pipeline asked a clarifying question)
1504,2024-25 me total kitna paisa unspent reh gaya?,EXP-004,EXP-004,EXP-004,3/3,EXP-004,What is the total unspent amount (planned minus actual) in 2024-2025?
1505,2024-2025 ରେ କେଉଁ ଫୋକସ ଏରିଆରେ ସର୍ବାଧିକ ପ୍ରକୃତ ଖର୍ଚ୍ଚ ହୋଇଛି?,CLARIFY:ambiguous_templates,EXP-018,EXP-018,2/3,EXP-018,Which GPDP themes have the highest expenditure utilisation in 2024-2025 (1)?
1506,Which GPDP theme has the highest actual expenditure in 2024-2025?,EXP-015,EXP-015,EXP-015,3/3,EXP-015,Which GPDP theme has the highest actual expenditure in 2024-2025 (1)?
1507,How much actual expenditure has been incurred under each funding source in 2024-25?,EXP-006,EXP-006,EXP-006,3/3,EXP-006,How much actual expenditure has been incurred under each funding source in 2024-2025?
1508,Kaun se funding source me sabse zyada paisa bacha hua hai 2024-25 me?,EXP-013,EXP-013,EXP-013,3/3,EXP-013,Which funding source has the largest unspent amount in 2024-2025 (1)?
1509,"Which high-value activities above Rs 1,00,000 have no expenditure in 2024-25?",EXP-033,EXP-033,EXP-033,3/3,EXP-033,Which high-value activities (planned cost above 100000) have no expenditure in 2024-2025?
1510,5 lakh se upar ki kaun si activity par abhi tak kharcha nahi hua 2024-25 me?,EXP-033,EXP-033,EXP-033,3/3,EXP-033,Which high-value activities (planned cost above 100000) have no expenditure in 2024-2025?
1511,"Andhrua ra 2024-2025 ra receipt, payment o closing balance kete?",EXP-024,EXP-024,EXP-024,3/3,EXP-024,"What are the receipts, payments and closing balance for Andhrua in 2024-2025?"
1512,How has the total actual expenditure of Andhrua changed over the years?,EXP-002,EXP-002,EXP-002,3/3,EXP-002,How has the total actual expenditure of Andhrua changed over the years?
1513,Andhrua me marammat aur rakhrakhav par kitna kharcha hua 2024-25 me?,EXP-037,EXP-037,EXP-037,3/3,EXP-037,How much expenditure went on repair and maintenance in Andhrua in 2024-2025?
1514,2024-2025 re Andhrua re nua sampati tiari pain kete kharcha heichi?,EXP-036,EXP-036,EXP-036,3/3,EXP-036,How much expenditure went on creation of new assets in all GPs in 2024-2025?
1515,Which activities have actual expenditure exceeding the planned expenditure in Andhrua in 2024-2025?,EXP-035,EXP-035,EXP-035,3/3,EXP-035,Which activities have actual expenditure exceeding the planned expenditure in Andhrua in 2024-2025 (10)?
1516,Which theme has the highest utilisation of 15th CFC funds at district level in 2024-25?,EXP-021,EXP-021,EXP-021,3/3,EXP-021,Which theme has the highest utilisation of 15th CFC funds at District level in 2024-2025 (XV Finance Commission)?
1517,How many activities have expenditure under Sanitation in 2024-2025?,EXP-010,EXP-010,EXP-010,3/3,EXP-010,How many activities have expenditure under Sanitation in 2024-2025?
1518,Which activities have the highest expenditure in 2024-25?,EXP-031,EXP-031,EXP-031,3/3,EXP-031,Which activities have the highest expenditure in 2024-2025 (1)?
1519,2024-2025 ରେ ମୋଟ କେତେ ଟଙ୍କା ଖର୍ଚ୍ଚ ହୋଇନାହିଁ?,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,3/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1520,What percentage of sanctioned funds was utilised in 2024-2025?,EXP-023,EXP-023,EXP-023,3/3,EXP-023,What percentage of sanctioned funds was utilised in 2024-2025?
1521,expenditure Andhrua?,CLARIFY:missing_parameter,TRD-006,CLARIFY:ambiguous_templates,1/3,CLARIFY:missing_parameter,(pipeline asked a clarifying question)
1522,Tied aur untied fund se 2024-25 me kitna kharcha hua?,EXP-008,EXP-008,EXP-008,3/3,EXP-008,How much actual expenditure has been incurred under tied and untied funds in 2024-2025?
1523,What is the total actual expenditure incurred by each GP in 2024-2025?,EXP-001,EXP-001,EXP-001,3/3,EXP-001,What is the total actual expenditure incurred by each GP in 2024-2025?
1524,what about Laxmipur?,CLARIFY:tier_collision,CLARIFY:tier_collision,CLARIFY:tier_collision,3/3,CLARIFY:tier_collision,(pipeline asked a clarifying question)
1601,How many activities in Andhrua are in each progress status for 2024-25?,STS-001,STS-001,STS-001,3/3,STS-001,How many activities in Andhrua are in each progress status for 2024-2025?
1602,What is the district-wise activity status summary for 2024-2025?,STS-013,STS-013,STS-013,3/3,STS-013,What is the district-wise activity status summary for 2024-2025?
1603,How many activities in Bhubaneswar are ongoing in 2024-25?,STS-003,STS-003,STS-003,3/3,STS-003,How many activities in Bhubaneswar are in Activity Approved status for 2023-2024?
1604,and completed ones?,STS-003,STS-003,STS-003,3/3,STS-003,How many activities in Bhubaneswar are in Activity Approved status for 2023-2024?
